"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","843","0 and 0","chromium","Wed Jul 30 17:55:15 MSK 2025","passed","Wed Jul 30 17:55:16 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","675"," and -14.000000000000001","chromium","Wed Jul 30 17:55:22 MSK 2025","passed","Wed Jul 30 17:55:22 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","588","-12 and 2/1","chromium","Wed Jul 30 17:55:16 MSK 2025","passed","Wed Jul 30 17:55:17 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","737","  and -14.000000000000001","chromium","Wed Jul 30 17:48:25 MSK 2025","passed","Wed Jul 30 17:48:26 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","5970","100 and 88888888888888888888","chromium","Wed Jul 30 17:55:15 MSK 2025","failed","Wed Jul 30 17:55:21 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","5608","0 and 1.0","chromium","Wed Jul 30 17:48:21 MSK 2025","failed","Wed Jul 30 17:48:26 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","5576","0 and 1.0","chromium","Wed Jul 30 17:55:17 MSK 2025","failed","Wed Jul 30 17:55:23 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","915","1 and 1.0","chromium","Wed Jul 30 17:55:15 MSK 2025","passed","Wed Jul 30 17:55:16 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","724","1 and  ","chromium","Wed Jul 30 17:48:25 MSK 2025","passed","Wed Jul 30 17:48:26 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","5886","  and  ","chromium","Wed Jul 30 17:48:19 MSK 2025","failed","Wed Jul 30 17:48:24 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","5840"," and ","chromium","Wed Jul 30 17:55:15 MSK 2025","failed","Wed Jul 30 17:55:21 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","820","-12 and -14.000000000000001","chromium","Wed Jul 30 17:55:15 MSK 2025","passed","Wed Jul 30 17:55:16 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","601","0.1 and a","chromium","Wed Jul 30 17:55:16 MSK 2025","passed","Wed Jul 30 17:55:17 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","5610","8.111111111111111111111111111111 and 88888888888888888888","chromium","Wed Jul 30 17:55:17 MSK 2025","failed","Wed Jul 30 17:55:22 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","5937","0.1 and 2/1","chromium","Wed Jul 30 17:55:15 MSK 2025","failed","Wed Jul 30 17:55:21 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","5640","8.111111111111111111111111111111 and a","chromium","Wed Jul 30 17:55:16 MSK 2025","failed","Wed Jul 30 17:55:22 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","665","1 and ","chromium","Wed Jul 30 17:55:22 MSK 2025","passed","Wed Jul 30 17:55:22 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","584","100 and 0","chromium","Wed Jul 30 17:55:17 MSK 2025","passed","Wed Jul 30 17:55:17 MSK 2025","Calculation","CourseForm.spec.ts","",""
"","5893","100 and 88888888888888888888","chromium","Wed Jul 30 17:48:19 MSK 2025","failed","Wed Jul 30 17:48:24 MSK 2025","Calculation","CourseForm.spec.ts","",""
